ID,NOMBRE,PRIORIDAD,ESTADO,FECHA
12,Armar Frontend,ALTA,PENDIENTE,2025-09-02 00:53:46
16,Comprar adaptador RS232,BAJA,PENDIENTE,2025-09-02 00:59:16
14,Comprar Auriculares,ALTA,PENDIENTE,2025-09-02 00:56:16
18,Comprar carbón,BAJA,PENDIENTE,2025-09-02 01:11:34
15,Comprar Router,BAJA,PENDIENTE,2025-09-02 00:58:16
3,Comprar zocalo entrepiso,BAJA,PENDIENTE,2025-09-02 00:42:41
8,IngSoft Hacer TP presentación,MEDIA,EN CURSO,2025-09-02 00:47:38
9,IngSoft Hacer TP Python,MEDIA,EN CURSO,2025-09-02 00:48:00
11,Integrar MCP server,BAJA,FINALIZADA,2025-09-02 00:52:46
7,Lavar Moto,BAJA,PENDIENTE,2025-09-02 00:45:36
5,Limpiar oficina,MEDIA,PENDIENTE,2025-09-02 00:45:04
10,Migrar DB proyecto SM,BAJA,PENDIENTE,2025-09-02 00:51:58
2,Pagar Amex,ALTA,FINALIZADA,2025-09-02 00:49:05
4,Pagar expensas,MEDIA,FINALIZADA,2025-09-02 00:44:32
1,Pagar VISA,ALTA,PENDIENTE,2025-09-02 00:38:20
6,Pintar terraza,MEDIA,PENDIENTE,2025-09-02 00:45:18
13,Testear TODO App,MEDIA,EN CURSO,2025-09-02 00:55:14
